t,motFRTor,motRRTor,motFLTor,motRLTor,dx,q1,ddx
0.176,8.05E-12,2.16E-11,1.34E-11,-1.79E-11,8.24E-15,1.32E-16,-3.15E-11
0.177,-5.97E-11,-1.96E-11,-3.07E-11,1.87E-11,9.82E-15,1.11E-17,1.57937E-12
0.178,-2.19E-11,1.91E-11,2.16E-11,1.02E-11,4.86E-14,-4.44E-17,3.87769E-11
0.179,3.85E-11,-2.62E-12,6.02E-12,-6.71E-12,3.05E-14,8.23E-17,-1.81E-11
0.18,7.57E-11,3.00E-11,-2.93E-11,-7.72E-11,3.00E-14,1.16E-16,-4.39E-13
0.181,-5.80E-11,-3.18E-11,5.37E-11,7.93E-11,2.37E-14,8.40E-17,-6.36E-12
0.182,-2.38E-17,2.10E-17,-8.93E-17,8.58E-17,2.37E-14,5.15E-17,2.41629E-16
0.183,-1.66E-11,-2.06E-11,-9.50E-11,-1.04E-11,-3.61E-14,8.63E-17,-5.98E-11
0.184,2.35E-11,2.36E-11,-1.08E-12,-1.49E-11,1.50E-14,6.45E-17,5.11656E-11
0.185,5.58E-11,-7.45E-12,3.69E-11,-3.10E-11,-1.20E-14,8.30E-17,-2.7E-11
0.186,-3.37E-11,7.72E-12,4.27E-11,1.04E-11,1.38E-14,7.10E-17,2.57802E-11
0.187,7.18E-11,-1.46E-10,-6.93E-11,-9.78E-11,3.00E-14,1.10E-16,1.6167E-11
0.188,-2.24E-10,2.85E-10,1.49E-10,2.86E-10,-2.73E-14,3.80E-17,-5.72E-11
0.189,1.42E-10,-1.85E-10,-1.24E-10,-1.96E-10,4.90E-14,5.32E-17,7.6235E-11
0.19,-8.59E-11,8.34E-11,2.50E-12,8.03E-11,-1.95E-14,7.41E-17,-6.85E-11
0.191,-3.92E-12,1.94E-12,3.11E-12,-1.02E-12,-3.11E-14,1.25E-16,-1.16E-11
0.192,0.201836716,0.075767241,0.109872739,-0.186127646,6.22E-05,2.30E-08,0.062210672
0.193,0.059746148,-0.398092437,0.265913629,0.20313301,0.000300388,-0.000000181,0.238177037
0.194,-0.080081028,0.230608841,-0.307283798,0.314522756,0.000412895,9.69E-08,0.112507171
0.195,0.135621317,0.213294348,-0.270984345,0.156610068,0.000573767,-8.44E-09,0.160872085
0.196,0.200012219,0.438672111,-0.614890469,0.025940827,0.000552863,-0.00000085,-0.020903686
0.197,-0.230080471,0.574407089,-0.269236995,-0.199282035,0.000404263,-0.00000258,-0.148600662
0.198,0.027525272,-0.809611019,-0.495300377,1.538295287,0.000495888,-0.00000418,0.091625764
0.199,-0.397864325,-2.104775231,-0.527706085,1.697378311,0.000479577,-0.00000643,-0.016311558
0.2,-0.501511076,-0.623309649,-0.873877503,0.285999431,0.000806837,-0.00000841,0.32725988
0.201,0.257417323,-0.196486374,-0.612844778,-0.01878924,0.000946579,-0.0000108,0.139742
0.202,1.317257265,0.679568597,-0.126033852,-1.044348534,0.001337759,-0.0000136,0.391180102
0.203,2.28333229,0.407037416,-0.747356105,0.509864569,0.001307804,-0.0000174,-0.029954674
0.204,0.29004927,1.302540336,-0.912037114,1.116520554,0.001396671,-0.0000228,0.088866962
0.205,-0.164508765,-1.766815007,-0.831825005,2.010812088,0.001714738,-0.0000299,0.318066761
0.206,-0.473034797,-2.095112414,-1.519432377,2.674823871,0.002249891,-0.000038,0.535153493
0.207,-0.144452676,-0.785574377,-1.903326379,2.806133826,0.002486616,-0.0000468,0.236724498
0.208,-0.041296044,-0.325202134,-0.471421147,1.456867225,0.002931405,-0.0000563,0.444789438
0.209,-0.220807872,0.94933739,-0.757603102,-0.158898916,0.003397114,-0.0000665,0.465708944
