t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.02000000000000001,0.19888004642432164,0.22453493698702295,-1.4503443090366064e-05,-7.391317572327408e-15,-0.2060100000000142,5.009709583418575e-16,1.911228905160303e-17,-9.810000000000013,1.0143778989817771e-16,0.0,0.0,1.0,1.3133766785142268e-18,5.008264928846145e-19,-1.791607930825413e-18,-1.28633000541584e-17,2.1745129008538753e-17,1.588970479773022e-16,5.213847996810531e-17,-2.844948095603856e-18,-6.396339878587269e-18,-9.170725642861698e-17,-4.3307895683624985e-17
0.02100000000000001,0.19888004642432164,0.22431911698702298,-1.45034430903778e-05,1.0504850622634901e-14,-0.21581999999998663,-1.1736160529408213e-14,1.789616819496231e-11,-9.809999999972424,-1.2237131487750072e-11,0.0,0.0,1.0,-2.9811368237461402e-18,1.0967386477654444e-18,1.0569767500165723e-19,3.67154333219912e-12,1.9199526811824768e-12,-2.176228129253826e-12,-9.961286733526591e-12,3.477390397181072e-11,-9.644898366275916e-12,1.5599361913201285e-11,-3.815486811431887e-11
0.022000000000000013,0.1988800464243216,0.22409348698702297,-1.450344309036889e-05,-2.299187871029883e-14,-0.22563000000001462,8.911268627435032e-15,-3.3496729332933734e-11,-9.81000000002799,2.0647429156843244e-11,0.0,0.0,1.0,-8.998518794697871e-19,3.4182566639412322e-18,-2.124726009433345e-19,-1.151812442558585e-11,-2.946094287097146e-13,5.375415191295349e-12,9.579431371427033e-12,-9.166759666730256e-11,9.126908445290374e-12,-5.410261764802937e-11,3.7529054123903554e-11
0.023000000000000013,0.19888004642432164,0.223858046987023,-1.45034430903444e-05,1.4450173497505535e-14,-0.23543999999997134,2.4490244379579125e-14,3.744205220780436e-11,-9.809999999956714,1.5578975752144095e-11,0.0,0.0,1.0,1.6761163175768836e-18,-2.161975489214139e-18,1.5062208753388762e-18,3.4928261194413546e-11,1.7906487339155634e-12,-1.234348614520521e-11,-6.4832833768064956e-12,1.0236114749310126e-10,-1.2535349140947546e-12,5.4726888226565915e-11,-1.7414634277565748e-11
0.024000000000000014,0.19888004642432164,0.22361279698702302,-1.4503443090370027e-05,-7.1005835342967045e-15,-0.24524999999998703,-2.562663008042796e-14,-2.1550757031802238e-11,-9.810000000015695,-5.0116874460007083e-11,0.0,0.0,1.0,-6.483244328752669e-19,2.830043938631235e-18,-9.304144984387562e-19,-2.5577324640720322e-11,1.2141629849326219e-12,6.882321844629407e-12,4.0431992703860875e-12,-1.725274312938815e-11,-1.8568865695920004e-11,-6.208335515619076e-12,1.88744311643422e-11
0.025000000000000015,0.19888004642432164,0.22335773698702296,-1.4503443090360779e-05,-5.215575212359905e-15,-0.2550600000000516,9.247624936957253e-15,1.8850083219367992e-12,-9.810000000064544,3.487425501738521e-11,0.0,0.0,1.0,-7.115352922018816e-19,-6.513727350459188e-18,-2.1243043759247987e-19,-1.8613378401857178e-11,-4.286040235450105e-12,4.978318675960758e-12,5.426937899002579e-12,-8.73925645752953e-12,3.270643347152207e-11,-5.691681122407675e-12,-2.1428726378153875e-11
0.026000000000000016,0.19888004642432164,0.22309286698702296,-1.4503443090356708e-05,-9.007179931891599e-15,-0.26486999999999605,4.071633948523212e-15,-3.7916047195316936e-12,-9.809999999944473,-5.175990988434042e-12,0.0,0.0,1.0,-5.333385765746517e-18,-1.2428105780212877e-17,1.8469071272970753e-17,1.1988357336872368e-11,-1.3576162410327075e-12,9.61168191051927e-13,-6.222959539412809e-12,-2.3593502977251353e-11,-1.261512295398914e-11,1.954768846201684e-12,1.714652073392432e-11
0.027000000000000017,0.19888004642432164,0.22281818698702296,-1.4503443090370514e-05,6.942742307410044e-15,-0.27467999999999326,-1.3805790807148716e-14,1.5949922239301643e-11,-9.80999999999721,-1.7877424755671928e-11,0.0,0.0,1.0,7.614217091381285e-18,-1.5840213400542782e-17,5.666260156010137e-18,7.577574231124438e-12,7.481317807989329e-14,-4.383804186118293e-12,2.1399770618140082e-12,2.6648856828484012e-11,-6.14173766873146e-13,-1.7203533997613588e-11,-9.807395345568409e-12
0.028000000000000018,0.19888004642432164,0.22253369698702297,-1.4503443090384321e-05,6.9428901261443456e-15,-0.28448999999999325,-1.3805932414573985e-14,1.4781873430128414e-16,-9.809999999999985,-1.416074252681938e-16,0.0,0.0,1.0,2.0560198490594144e-17,-1.9250661104620136e-17,-7.134350872770169e-18,4.339732874697551e-17,6.426984106459231e-17,3.713431347197105e-17,-6.277183411144076e-17,1.926506251485982e-17,1.0497484759567934e-17,-9.505637896398202e-17,-1.7072113569989744e-18
0.02900000000000002,0.19888004642432167,0.22223939698702297,-1.4503443090372026e-05,1.4088876289333624e-14,-0.29429999999999645,1.22949158514047e-14,7.145986163189279e-12,-9.810000000003205,2.6100848265978686e-11,0.0,0.0,1.0,9.737435561943009e-18,-1.4297226117815012e-17,-3.0166834921521416e-18,8.217036175188107e-13,4.736243539458868e-12,1.4713215918665707e-12,-1.3009090093823252e-12,-2.6878560080259448e-12,-9.991241061421325e-13,2.019911495989033e-12,2.556904171478854e-12
0.03000000000000002,0.19888004642432167,0.22193528698702297,-1.4503443090360879e-05,-6.208608213229218e-15,-0.3041099999999963,1.1146861055099666e-14,-2.0297484502562844e-11,-9.809999999999874,-1.148054796305034e-12,0.0,0.0,1.0,6.028374336668463e-18,-1.3453542264366279e-17,-7.874951280931073e-19,-1.2504822771258078e-12,2.0205285729383017e-12,-1.3486899125127251e-12,-8.110678496332781e-13,-5.398327752894632e-12,-3.95925424538205e-12,5.1676515213724606e-12,4.83331244483491e-12
0.03100000000000002,0.19888004642432167,0.22162136698702298,-1.450344309034836e-05,-9.371281043888917e-15,-0.31392000000000764,1.2519268469880479e-14,-3.1626728306596993e-12,-9.81000000001131,1.372407414780813e-12,0.0,0.0,1.0,1.8982859070728542e-17,1.8647112441265257e-17,-9.107419926482874e-19,-3.2404130449724835e-12,2.0276692466665583e-13,2.3754544324701426e-12,1.6124891879203175e-12,-3.0470797192692745e-11,-2.3488066244292497e-11,1.1627095148893991e-11,2.2149435507665604e-12
0.03200000000000002,0.19888004642432164,0.22129763698702296,-1.4503443090353103e-05,-2.2625764099474038e-14,-0.3237300000000121,-4.743148357537173e-15,-1.3254483055585121e-11,-9.810000000004482,-1.726241682741765e-11,0.0,0.0,1.0,9.540146116831525e-18,1.0218941227392424e-17,-6.714695832235323e-19,1.827532660750108e-12,-4.531039210268332e-12,-3.3371778634254363e-12,-1.3791747177901716e-12,5.125583185735761e-12,2.0449488733817677e-11,-1.2960967366689869e-11,-1.4184204569859734e-11
0.03300000000000002,0.19888004642432164,0.22096409698702296,-1.4503443090359701e-05,9.122598592902942e-15,-0.3335399999999822,-6.599063393966391e-15,3.1748362692376977e-11,-9.809999999970065,-1.8559150364292175e-12,0.0,0.0,1.0,3.306067842659707e-18,7.589198186338776e-18,1.1114377571306132e-19,-1.3256646961138165e-12,-5.866929592205512e-13,5.346394103930814e-13,-2.581508133567942e-13,2.042567218174764e-11,1.7901226755889048e-11,2.616034376962447e-12,8.557657030430778e-12
0.03400000000000002,0.19888004642432167,0.22062074698702297,-1.450344309036096e-05,1.719040514874411e-14,-0.343349999999993,-1.2584726485761897e-15,8.067806555841168e-12,-9.81000000001081,5.340590745390201e-12,0.0,0.0,1.0,1.4642830948654402e-18,1.948503366574826e-18,1.0327492056437068e-19,-3.224318806802025e-12,4.780506553937857e-13,5.721154281178379e-13,-5.664565500325679e-13,1.3357941852164228e-12,-9.645026830754907e-12,-2.8342044920732674e-13,-5.308252029400995e-12
0.035000000000000024,0.19888004642432167,0.22026758698702298,-1.450344309035343e-05,2.3628535618374747e-15,-0.35316000000000514,7.530577237409992e-15,-1.4827551586906636e-11,-9.810000000012142,8.789049885986181e-12,0.0,0.0,1.0,4.777648814720536e-18,9.535354240010912e-18,1.9865167608499495e-18,9.681662849424036e-12,-1.6286413995330572e-12,9.780445696219289e-13,1.7660457038784955e-12,8.436185463197733e-12,-3.7358611673714795e-12,-9.667806043153007e-13,4.657779672145975e-12
0.036000000000000025,0.19888004642432164,0.219904616987023,-1.4503443090387982e-05,-1.731635225154117e-14,-0.3629700000000031,-3.45517454089967e-14,-1.9679205813378645e-11,-9.809999999997988,-4.2082322646406695e-11,0.0,0.0,1.0,-1.8205747703398545e-18,2.0896552481466572e-18,2.4292629052503768e-18,-4.4442399116636865e-12,-6.623214637869938e-13,-1.0834035059420265e-12,-4.3529786037887526e-13,2.3216153192173727e-12,-5.3103632212788725e-12,5.261715160518278e-12,3.580969318765901e-12
0.037000000000000026,0.19888004642432172,0.219531836987023,-1.4503443090292194e-05,8.155881309324975e-14,-0.37277999999998573,9.578702416831283e-14,9.887516534479092e-11,-9.80999999998261,1.3033876957730953e-10,0.0,0.0,1.0,4.019330971643999e-18,5.6757109480708125e-18,-2.5790440862030343e-18,-3.853255841658793e-12,2.1420276459774847e-11,7.647546347850968e-12,-1.0846869430823608e-11,-2.1443027285062025e-11,1.2269925623768548e-11,2.942034169846035e-11,1.3796269021406896e-12
0.03800000000000003,0.19888004642432164,0.21914924698702298,-1.4503443090352508e-05,-7.755339815354128e-14,-0.3825900000000157,-6.031424844207882e-14,-1.5911221124679101e-10,-9.810000000029962,-1.5610127261039164e-10,0.0,0.0,1.0,1.311875607512436e-18,3.0316798125487724e-18,-5.4357926015188225e-18,1.0410408728892478e-11,-3.278595646808547e-11,-6.165566295563908e-12,2.4863587491933873e-11,2.513451893752481e-11,-2.4122177663007394e-11,-4.328807354270224e-11,-7.195513964369672e-12
0.03900000000000003,0.19888004642432164,0.21875684698702297,-1.4503443090354951e-05,1.3873217704767599e-14,-0.3924000000000107,-2.4431872350366097e-15,9.142661585830888e-11,-9.80999999999499,5.7871061207042204e-11,0.0,0.0,1.0,4.299343366004773e-18,-2.9245459514990478e-18,-2.9700646522151837e-17,-1.1267412336528492e-11,1.3168365765371428e-11,-9.407194662006002e-12,-1.6786902547087363e-11,-5.96344674794759e-12,2.3137144844929662e-11,1.0107876384263976e-11,7.1612383255809976e-12
