t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.02,0.5141570552417476,0.3454649066428791,0.25373742652605735,-1.13E-14,-0.20601,-6.02E-14,-1.03E-10,-9.81,-1.01E-10,0,0,1,3.942007456443769e-17,1.115059023403115e-15,1.6213726605832168e-15,2.4411997446068053e-11,4.7289983618453536e-11,-3.37E-11,1.1461983908836387e-11
0.021,0.5141570552417475,0.3452490866428791,0.2537374265260574,-6.81E-14,-0.21582,4.669561866065277e-14,-5.67E-11,-9.81,1.069176406666419e-10,0,0,1,4.0818946871190605e-17,1.2070124259280795e-15,1.6271315313579215e-15,2.8438075514740812e-11,-2.35E-11,5.783467853229058e-11,6.732301725609975e-11
0.022000000000000013,0.5141570552417475,0.34502345664287914,0.25373742652605746,-2.77E-14,-0.22563,5.053482991338816e-14,4.035317221083099e-11,-9.81,3.839211252735392e-12,0,0,1,9.126038220985983e-17,1.0699227216978296e-15,1.6485673284874882e-15,5.6606516063008794e-11,-8.14E-12,-8.70E-11,-1.14E-10
0.023000000000000013,0.5141570552417476,0.3447880166428791,0.25373742652605735,5.619585299298922e-14,-0.23544,-9.03E-14,8.390261729685013e-11,-9.81,-1.41E-10,0,0,1,5.950284906452937e-17,1.1727926606037115e-15,1.5867987759952195e-15,-1.25E-10,1.2098441366589552e-12,1.4261193705615924e-10,9.43421581236787e-11
0.024000000000000014,0.5141570552417476,0.3445427666428791,0.2537374265260574,-2.25E-14,-0.24525,3.7377025092736e-14,-7.87E-11,-9.81,1.2770374890814187e-10,0,0,1,6.982931047488614e-17,1.1794430092491679e-15,1.6107634144503315e-15,5.1196786896649497e-11,-6.28E-12,-1.45E-10,1.3880001529438493e-11
0.025000000000000015,0.5141570552417476,0.3442877066428791,0.2537374265260574,9.428440627331342e-15,-0.25506,-6.72E-15,3.190620582219598e-11,-9.81,-4.41E-11,0,0,1,9.782198786548948e-17,1.1401076563533547e-15,1.6151640657364132e-15,-5.63E-11,2.5407004042617568e-11,9.91867126659318e-11,-4.40E-11
0.026000000000000016,0.5141570552417476,0.3440228366428791,0.2537374265260574,-1.98E-14,-0.26487,-3.06E-15,-2.92E-11,-9.81,3.654784033162159e-12,0,0,1,4.001399943952282e-17,1.1816617582831468e-15,1.6537491992436672e-15,-1.67E-11,-3.48E-11,-1.08E-11,3.156097306258182e-11
0.027000000000000017,0.5141570552417475,0.3437481566428791,0.2537374265260574,-1.03E-13,-0.27468,1.2596014467338403e-14,-8.31E-11,-9.81,1.566094986835282e-11,0,0,1,3.070425223893904e-17,1.1470740959010564e-15,1.6566727372083402e-15,1.1326676658204373e-10,6.724058289129661e-11,-5.31E-11,-2.64E-11
0.028000000000000018,0.5141570552417475,0.34346366664287914,0.25373742652605735,-5.38E-15,-0.28449,-5.20E-14,9.746888894459253e-11,-9.81,-6.46E-11,0,0,1,3.846837529503943e-17,1.204412142859862e-15,1.6763751554953279e-15,-4.77E-11,-1.22E-11,9.255047154704289e-12,6.652203653306394e-12
0.029,0.5141570552417475,0.3431693666428791,0.2537374265260574,3.152321664763795e-14,-0.2943,4.8973707300090426e-14,3.6904333633210427e-11,-9.81,1.0102149860793603e-10,0,0,1,3.7316268001373166e-17,1.16075954441363e-15,1.6597718293871143e-15,-9.17E-11,-5.33E-11,2.3814580059383494e-11,2.0610380754719617e-11
