t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.03800000000000003,0.19888004642432167,0.21914924698702296,-1.450344309051224e-05,-1.9991178944505253e-16,-0.3825899999999953,2.3633895966555745e-14,1.061757049065946e-16,-9.80999999999993,-3.1538552377131344e-16,0.0,0.0,1.0,-7.664541110516266e-16,1.1077654497505047e-15,-3.519165481331869e-16,-8.610537050521574e-17,3.3596627221790523e-17,7.268259199865982e-18,-1.036633606593272e-17,-6.991207081175205e-18,-7.00722430215138e-18,-1.4041095534825416e-16,8.752574827723781e-18
0.03900000000000003,0.19888004642432167,0.21875684698702294,-1.4503443090555427e-05,8.528328137653171e-15,-0.3924000000000061,-4.3186171928968993e-14,8.728239927098224e-12,-9.810000000010755,-6.682006789552473e-11,0.0,0.0,1.0,-7.957381825172618e-16,1.2192840439791655e-15,-3.150096900536713e-16,-3.3077936489400117e-12,8.983539223161406e-13,-4.424124874344389e-12,-2.8628299730145838e-12,4.784926697646187e-11,-1.6511120836611095e-11,-5.983979685988623e-11,1.5925371021461954e-11
0.04000000000000003,0.19888004642432164,0.21835463698702293,-1.4503443090456448e-05,-3.393747989076752e-14,-0.4022100000000008,9.897976908659465e-14,-4.246580802842069e-11,-9.809999999994712,1.4216594101556365e-10,0.0,0.0,1.0,-7.25309451702968e-16,1.2406266866813916e-15,-3.9995294616562105e-16,-7.377862425203487e-12,-1.48033552246333e-12,8.765978392290256e-12,2.9713415070833564e-11,-5.2044889301308506e-11,-7.206288132802097e-12,1.9327174186496128e-11,6.9345798049694834e-12
0.04100000000000003,0.19888004642432164,0.21794261698702294,-1.4503443090517734e-05,1.2742014384114556e-14,-0.41201999999998506,-6.128644028155426e-14,4.6679494274882075e-11,-9.809999999984276,-1.6026620936814891e-10,0.0,0.0,1.0,-7.834971882561117e-16,1.2363010877640294e-15,-3.396098861729256e-16,1.0236311657786187e-11,2.6860254952217482e-12,-9.107785836164192e-12,-4.668707453003846e-11,1.3643243560869694e-11,1.1165856743242031e-11,2.703694407623144e-11,-3.346849859217829e-12
0.04200000000000003,0.19888004642432167,0.21752078698702293,-1.4503443090537914e-05,2.198467906909657e-14,-0.4218300000000126,-2.0180377538003457e-14,9.242664684982015e-12,-9.810000000027518,4.11060627435508e-11,0.0,0.0,1.0,-8.073472141307354e-16,1.2164156913364256e-15,-3.188641654499747e-16,1.9004602954862094e-12,1.3695757323175768e-12,3.6182491316669426e-12,2.3429813147303153e-11,3.125194090766334e-11,2.015536205853246e-11,3.206452546429162e-12,-3.81949916375135e-11
0.04300000000000003,0.19888004642432164,0.21708914698702295,-1.4503443090555137e-05,-1.6836842237341966e-14,-0.4316399999999864,-1.7224259428125347e-14,-3.882152130643854e-11,-9.80999999997384,2.956118109878109e-12,0.0,0.0,1.0,-7.879511579220621e-16,1.2189799055570693e-15,-3.417006039996258e-16,-3.1691739110099445e-12,-6.827019310116806e-12,2.0088650921429443e-12,1.918105645474755e-12,-5.2810796164906084e-11,-1.950749074858357e-11,-2.7883021446796384e-11,5.1108403549852745e-11
0.04400000000000003,0.19888004642432167,0.21664769698702294,-1.4503443090533719e-05,2.3729293991025992e-14,-0.4414500000000098,2.1418859404381323e-14,4.056613622836796e-11,-9.810000000023356,3.8643118832506666e-11,0.0,0.0,1.0,-8.01431140113646e-16,1.2728701419881209e-15,-2.992430892895135e-16,2.031211796687381e-12,8.734852699641603e-12,-8.466263742316871e-12,-1.027103857820135e-11,1.0032393395175136e-10,-3.5270657854823343e-11,5.457969495511421e-11,-6.507364369653646e-11
0.04500000000000003,0.19888004642432164,0.21619643698702293,-1.4503443090547371e-05,-2.117836487605771e-14,-0.4512599999999998,-1.3651833940728477e-14,-4.4907658867083704e-11,-9.809999999989994,-3.50706933451098e-11,0.0,0.0,1.0,-8.116169782579401e-16,1.2662123892671055e-15,-3.2660165539487845e-16,-8.094755201953288e-13,-1.044606501248844e-11,9.480560057845127e-12,4.706175825858632e-12,-1.3081169721532874e-10,6.743319642286683e-11,-5.612850230768692e-11,6.103995664300248e-11
0.046000000000000034,0.19888004642432167,0.21573536698702292,-1.4503443090536008e-05,3.856899553353324e-14,-0.46107000000001225,1.1364515970813277e-14,5.974736040959095e-11,-9.810000000012476,2.5016349911541755e-11,0.0,0.0,1.0,-7.912199804859317e-16,1.2458432102047634e-15,-3.5576033514203847e-16,-4.851071581217131e-12,4.765447124156781e-12,-2.6741048708309044e-12,1.0063777847025037e-11,4.618930699853983e-11,-9.222577424396114e-12,1.4680032946637022e-11,-6.54095269272364e-12
0.047000000000000035,0.19888004642432167,0.21526448698702294,-1.4503443090542786e-05,-6.832352280497784e-15,-0.4708799999999784,-6.778733908335163e-15,-4.540134781403103e-11,-9.809999999966179,-1.814324987914844e-11,0.0,0.0,1.0,-7.53151144309222e-16,1.1987674935116583e-15,-2.8673896610262007e-16,-4.948300311356751e-14,-2.115193295155122e-12,5.049776305769352e-12,-1.6817410530794174e-11,2.120250058371899e-11,-2.5408532306064994e-11,-3.671532893412999e-12,-1.4327959680752677e-11
0.048000000000000036,0.19888004642432164,0.21478379698702293,-1.4503443090549503e-05,-2.0193298109245724e-14,-0.48069,-6.716725262723363e-15,-1.336094582874794e-11,-9.81000000002158,6.200864561180013e-14,0.0,0.0,1.0,-7.746341919006564e-16,1.2078073205896695e-15,-3.2671879223446003e-16,3.5796360612495663e-12,7.792726967928507e-12,-1.1096532271142913e-11,6.7921235526291e-12,3.654570758017107e-11,-4.347243929316172e-11,3.3556018519582174e-11,-1.2653659558941059e-11
0.04900000000000004,0.19888004642432167,0.21429329698702293,-1.4503443090541364e-05,2.1876666681759467e-14,-0.4904999999999933,8.138748231680093e-15,4.206996479100519e-11,-9.809999999993268,1.4855473494403456e-11,0.0,0.0,1.0,-7.97749911242815e-16,1.2381138464864599e-15,-3.3892174750247956e-16,-3.9474035500741154e-12,-8.984355509122776e-12,1.0151895493490191e-11,2.9294250787517754e-12,-7.024030912537624e-11,8.570190802721168e-11,-3.310176241082312e-11,2.7649562353299126e-11
0.05000000000000004,0.19888004642432164,0.21379298698702295,-1.450344309053405e-05,-3.1164141471043667e-14,-0.5003099999999885,7.315230601234436e-15,-5.3040808152803136e-11,-9.809999999995211,-8.235176304456568e-13,0.0,0.0,1.0,-7.846496897407728e-16,1.2332187725358997e-15,-3.288371249165866e-16,-5.06448280823179e-13,1.3289659341311105e-11,-1.5870139678747096e-11,-8.829275927851683e-14,2.168518716242775e-12,-2.365575892833654e-11,-7.624630762978698e-13,-8.175689470329228e-12
