t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.02000000000000001,0.5141570552417476,0.3454649066428791,0.25373742652605735,-1.1330579531013898e-14,-0.20601000000007424,-6.022202200598913e-14,-1.028139704573654e-10,-9.810000000305546,-1.0056923577225127e-10,0.0,0.0,1.0,3.942007456443769e-17,1.115059023403115e-15,1.6213726605832168e-15,2.4411997446068053e-11,4.7289983618453536e-11,-3.3680093387930836e-11,1.1461983908836387e-11
0.02100000000000001,0.5141570552417475,0.3452490866428791,0.2537374265260574,-6.805993651469191e-14,-0.2158199999999969,4.669561866065277e-14,-5.672935698367801e-11,-9.809999999922658,1.069176406666419e-10,0.0,0.0,1.0,4.0818946871190605e-17,1.2070124259280795e-15,1.6271315313579215e-15,2.8438075514740812e-11,-2.346828258526842e-11,5.783467853229058e-11,6.732301725609975e-11
0.022000000000000013,0.5141570552417475,0.34502345664287914,0.25373742652605746,-2.7706764303860914e-14,-0.22563000000000127,5.053482991338816e-14,4.035317221083099e-11,-9.81000000000437,3.839211252735392e-12,0.0,0.0,1.0,9.126038220985983e-17,1.0699227216978296e-15,1.6485673284874882e-15,5.6606516063008794e-11,-8.141014429705388e-12,-8.697552251619769e-11,-1.1355165166508728e-10
0.023000000000000013,0.5141570552417476,0.3447880166428791,0.25373742652605735,5.619585299298922e-14,-0.23544000000001636,-9.032672381540588e-14,8.390261729685013e-11,-9.810000000015084,-1.4086155372879405e-10,0.0,0.0,1.0,5.950284906452937e-17,1.1727926606037115e-15,1.5867987759952195e-15,-1.248529723483164e-10,1.2098441366589552e-12,1.4261193705615924e-10,9.43421581236787e-11
0.024000000000000014,0.5141570552417476,0.3445427666428791,0.2537374265260574,-2.247776519486464e-14,-0.2452500000000237,3.7377025092736e-14,-7.867361818785386e-11,-9.81000000000734,1.2770374890814187e-10,0.0,0.0,1.0,6.982931047488614e-17,1.1794430092491679e-15,1.6107634144503315e-15,5.1196786896649497e-11,-6.2808235946846775e-12,-1.4495512990382493e-10,1.3880001529438493e-11
0.025000000000000015,0.5141570552417476,0.3442877066428791,0.2537374265260574,9.428440627331342e-15,-0.25505999999998136,-6.719719434176574e-15,3.190620582219598e-11,-9.809999999957657,-4.409674452691257e-11,0.0,0.0,1.0,9.782198786548948e-17,1.1401076563533547e-15,1.6151640657364132e-15,-5.627943998582814e-11,2.5407004042617568e-11,9.91867126659318e-11,-4.401966606523253e-11
0.026000000000000016,0.5141570552417476,0.3440228366428791,0.2537374265260574,-1.977979489056658e-14,-0.2648700000000008,-3.064935401014415e-15,-2.920823551789792e-11,-9.81000000001947,3.654784033162159e-12,0.0,0.0,1.0,4.001399943952282e-17,1.1816617582831468e-15,1.6537491992436672e-15,-1.6742792579001188e-11,-3.482823533498076e-11,-1.0779699768991868e-11,3.156097306258182e-11
0.027000000000000017,0.5141570552417475,0.3437481566428791,0.2537374265260574,-1.0285000593016501e-13,-0.2746799999999861,1.2596014467338403e-14,-8.307021103959843e-11,-9.809999999985274,1.566094986835282e-11,0.0,0.0,1.0,3.070425223893904e-17,1.1470740959010564e-15,1.6566727372083402e-15,1.1326676658204373e-10,6.724058289129661e-11,-5.3109810266198293e-11,-2.636969963399262e-11
0.028000000000000018,0.5141570552417475,0.34346366664287914,0.25373742652605735,-5.381116985572476e-15,-0.28448999999998226,-5.2047791307845606e-14,9.746888894459253e-11,-9.809999999996155,-6.4643805775184e-11,0.0,0.0,1.0,3.846837529503943e-17,1.204412142859862e-15,1.6763751554953279e-15,-4.7691626757428866e-11,-1.221107843036208e-11,9.255047154704289e-12,6.652203653306394e-12
0.02900000000000002,0.5141570552417475,0.3431693666428791,0.2537374265260574,3.152321664763795e-14,-0.2942999999999988,4.8973707300090426e-14,3.6904333633210427e-11,-9.810000000016528,1.0102149860793603e-10,0.0,0.0,1.0,3.7316268001373166e-17,1.16075954441363e-15,1.6597718293871143e-15,-9.173080143794438e-11,-5.334335558006935e-11,2.3814580059383494e-11,2.0610380754719617e-11
0.03000000000000002,0.5141570552417475,0.3428652566428791,0.2537374265260574,2.4288358999280106e-14,-0.3041100000000042,2.158494694562215e-14,-7.234857648357843e-12,-9.810000000005425,-2.7388760354468277e-11,0.0,0.0,1.0,5.410138386996412e-17,1.12617373950643e-15,1.6695320162729842e-15,4.369284308342845e-12,1.6880573507372246e-12,-3.2616940992592725e-13,2.212165918616184e-12
